iter	Logloss
0	0.6918077611
1	0.6904408866
2	0.6890660448
3	0.6877828934
4	0.6863593408
5	0.6850352956
6	0.683771838
7	0.6825753487
8	0.6813089158
9	0.679964015
10	0.6787377085
11	0.6774614244
12	0.676268988
13	0.6750817083
14	0.6738792873
15	0.6727009441
16	0.6716474893
17	0.6705575813
18	0.6693838531
19	0.6683181766
20	0.6674025452
21	0.6663331887
22	0.6652166243
23	0.6642106432
24	0.6632702117
25	0.662268621
26	0.6612861444
27	0.6602505724
28	0.6592692998
29	0.6583777918
30	0.6574497916
31	0.6565566699
32	0.6556799375
33	0.6548657011
34	0.6540247181
35	0.6532041219
36	0.6523690769
37	0.6515632427
38	0.6507190491
39	0.6498908609
40	0.6491194013
41	0.6483028091
42	0.6475583394
43	0.6467707638
44	0.6460960189
45	0.6454406304
46	0.6448620036
47	0.6441826545
48	0.643527074
49	0.6428559558
50	0.642190164
51	0.641523846
52	0.6408584355
53	0.6401749197
54	0.6394643724
55	0.6388887319
56	0.6382141008
57	0.6377193973
58	0.6370868353
59	0.6364910743
60	0.6359937417
61	0.6354144358
62	0.6348414619
63	0.6342532444
64	0.6336728476
65	0.6331062269
66	0.632589772
67	0.6319994702
68	0.6314784724
69	0.6309324005
70	0.6304223194
71	0.6299188929
72	0.6294037178
73	0.6288856776
74	0.628340906
75	0.6278761375
76	0.6274133216
77	0.6268920477
78	0.6264257046
79	0.6259243625
80	0.6254242166
81	0.624984396
82	0.6245708182
83	0.6240560726
84	0.6236064256
85	0.6231574559
86	0.6226483663
87	0.6221821331
88	0.6218264479
89	0.6214092541
90	0.6209967801
91	0.620503206
92	0.620066555
93	0.619674164
94	0.6192362
95	0.6188205454
96	0.6184224441
97	0.6179684713
98	0.6175417273
99	0.6171420573
