iter	Passed	Remaining
0	8	797
1	12	592
2	16	529
3	21	505
4	24	465
5	28	442
6	32	433
7	36	424
8	40	407
9	45	412
10	49	403
11	54	397
12	57	386
13	61	376
14	66	379
15	71	372
16	76	372
17	79	362
18	83	357
19	88	352
20	92	349
21	95	340
22	99	334
23	103	329
24	108	324
25	112	321
26	115	313
27	119	306
28	122	300
29	127	298
30	132	294
31	137	291
32	141	287
33	146	283
34	150	279
35	154	275
36	158	269
37	163	266
38	167	262
39	172	258
40	177	254
41	182	252
42	189	251
43	194	247
44	198	242
45	203	238
46	205	231
47	210	227
48	214	223
49	218	218
50	223	214
51	227	210
52	232	205
53	236	201
54	241	197
55	245	192
56	249	188
57	254	183
58	258	179
59	262	175
60	267	170
61	271	166
62	276	162
63	280	158
64	285	153
65	289	149
66	294	145
67	298	140
68	302	136
69	307	131
70	311	127
71	315	122
72	320	118
73	324	114
74	329	109
75	333	105
76	338	101
77	343	96
78	347	92
79	351	87
80	356	83
81	360	79
82	364	74
83	369	70
84	373	65
85	378	61
86	382	57
87	387	52
88	392	48
89	396	44
90	401	39
91	406	35
92	411	30
93	416	26
94	421	22
95	426	17
96	431	13
97	440	8
98	447	4
99	452	0
